antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'OpenData'}),frozenset({'OpensAndBounces'}),0.25,0.2657312925170068,0.23341836734693877,0.9336734693877551,3.5136000000000003,1.0,0.16698554421768708,11.070512820512818,0.9538554948391014,0.8268072289156627,0.9096699478865083,0.9060367346938776
frozenset({'OpensAndBounces'}),frozenset({'OpenData'}),0.2657312925170068,0.25,0.23341836734693877,0.8784000000000001,3.5136000000000003,1.0,0.16698554421768708,6.167763157894741,0.9742913103046756,0.8268072289156627,0.8378666666666668,0.9060367346938776
"frozenset({'OpenReport', 'OpenData'})",frozenset({'OpensAndBounces'}),0.25,0.2657312925170068,0.23341836734693877,0.9336734693877551,3.5136000000000003,1.0,0.16698554421768708,11.070512820512818,0.9538554948391014,0.8268072289156627,0.9096699478865083,0.9060367346938776
"frozenset({'OpenReport', 'OpensAndBounces'})",frozenset({'OpenData'}),0.2657312925170068,0.25,0.23341836734693877,0.8784000000000001,3.5136000000000003,1.0,0.16698554421768708,6.167763157894741,0.9742913103046756,0.8268072289156627,0.8378666666666668,0.9060367346938776
frozenset({'OpenData'}),"frozenset({'OpenReport', 'OpensAndBounces'})",0.25,0.2657312925170068,0.23341836734693877,0.9336734693877551,3.5136000000000003,1.0,0.16698554421768708,11.070512820512818,0.9538554948391014,0.8268072289156627,0.9096699478865083,0.9060367346938776
frozenset({'OpensAndBounces'}),"frozenset({'OpenReport', 'OpenData'})",0.2657312925170068,0.25,0.23341836734693877,0.8784000000000001,3.5136000000000003,1.0,0.16698554421768708,6.167763157894741,0.9742913103046756,0.8268072289156627,0.8378666666666668,0.9060367346938776
"frozenset({'OpenReport', 'ReportsTab', 'SendNow'})","frozenset({'OpensAndBounces', 'ManageTab'})",0.2997448979591837,0.25170068027210885,0.2372448979591837,0.7914893617021277,3.144565842438183,1.0,0.1617989032347633,3.588782451756213,0.9739180393155362,0.7550744248985114,0.7213539651837524,0.8670284646348476
"frozenset({'OpensAndBounces', 'ManageTab'})","frozenset({'OpenReport', 'ReportsTab', 'SendNow'})",0.25170068027210885,0.2997448979591837,0.2372448979591837,0.9425675675675677,3.144565842438183,1.0,0.1617989032347633,12.19267707082835,0.9113880742913002,0.7550744248985114,0.9179835573278198,0.8670284646348476
"frozenset({'OpensAndBounces', 'SendNow'})","frozenset({'OpenReport', 'ManageTab', 'ReportsTab'})",0.23809523809523808,0.3171768707482993,0.2372448979591837,0.9964285714285716,3.1415549597855232,1.0,0.1617265954000648,191.1904761904828,0.8947132616487455,0.7459893048128343,0.9947696139476965,0.872208923783991
"frozenset({'OpenReport', 'ManageTab', 'ReportsTab'})","frozenset({'OpensAndBounces', 'SendNow'})",0.3171768707482993,0.23809523809523808,0.2372448979591837,0.7479892761394102,3.1415549597855232,1.0,0.1617265954000648,3.0233029381965557,0.9983350964349639,0.7459893048128343,0.6692359249329759,0.872208923783991
